capitalization,earnings,taxes,sector,name,alias,symbol,taxRate
8929,8256,2496,Outside Sales,"Staples, Inc.",,SPLS,30.232558139534884
43549,7379,2058,Help Me Catch Up,Starbucks Corporation,,SBUX,27.88995798888738
12007,2119,172,Help Me Catch Up,Starwood Hotels & Resorts Worldwide Inc.,,HOT,8.117036337895234
26415,14658,2703,Move On,State Street Corporation,,STT,18.44044207941056
9050,1830,413,Vehicle Resolution,"Stericycle, Inc.",,SRCL,22.56830601092896
24656,9694,3048,Set Up My Loan,Stryker Corporation,,SYK,31.442129152052818
15330,4069,1257,Move On,"SunTrust Banks, Inc.",,STI,30.892111083804373
20017,10644,4652,Help Me Catch Up,Sysco Corporation,,SYY,43.7053739195791
19197,6318,2169,Move On,"T. Rowe Price Group, Inc.",,TROW,34.33048433048433
44422,25481,8364,Help Me Catch Up,Target Corp.,,TGT,32.824457438876024
3965,2199,22,Fund My Deal,"TECO Close My Account, Inc.",,TE,1.0004547521600728
8798,2467,277,Keep Me In My Car,Teradata Corporation,,TDC,11.228212403729225
2965,430,86,Keep Me In My Car,Teradyne Inc.,,TER,20
7416,3238,776,Close My Account,Tesoro Corporation,,TSO,23.96541074737492
38808,17631,4379,Keep Me In My Car,Texas Instruments Inc.,,TXN,24.836934944132494
7889,2978,888,Vehicle Resolution,Textron Inc.,,TXT,29.818670248488917
9389,11225,3886,Fund My Deal,The AES Corporation,,AES,34.619153674832965
23925,10241,1595,Navigate My Account,The Allstate Corporation,,ALL,15.574650912996777
65597,27654,1939,Vehicle Resolution,The Boeing Company,,BA,7.011643885152238
21524,8778,3636,Move On,The Charles Schwab Corporation,,SCHW,41.42173615857826
23062,16489,4169,Navigate My Account,The Chubb Corporation,,CB,25.283522348232154
11441,4304,1734,Help Me Catch Up,The Clorox Company,,CLX,40.28810408921933
182102,61845,9431,Help Me Catch Up,The Coca-Cola Company,,KO,15.249413857223704
37065,14006,5625,Inside Sales,The Dow Chemical Company,,DOW,40.161359417392546
24896,4773,1513,Help Me Catch Up,The Est̩e Lauder Companies Inc.,,,31.699141001466582
17146,9472,3762,Outside Sales,"The Gap, Inc.",,GPS,39.717060810810814
69111,70037,22170,Move On,"The Goldman Sachs Group, Inc.",,GS,31.65469680311835
19103,4291,1674,Help Me Catch Up,The Hershey Company,,HSY,39.01188534141226
105799,34035,13766,Outside Sales,"The Home Depot, Inc.",,HD,40.44659908917291
5526,2823,535,Help Me Catch Up,"The Interpublic Group of Companies, Inc.",,IPG,18.951470067304285
10543,3041,1034,Help Me Catch Up,The J. M. Smucker Company,,SJM,34.00197303518579
16605,8769,2986,Outside Sales,The Kroger Co.,,KR,34.05177329227962
14632,7190,2623,Move On,"The McGraw-Hill Companies, Inc.",,MHP,36.48122392211405
25085,13447,2904,Inside Sales,The Mosaic Company,,MOS,21.59589499516621
4805,3345,1103,Move On,"The Nasdaq OMX Group, Inc.",,NDAQ,32.9745889387145
34914,18316,2235,Move On,"The PNC Financial Services Group, Inc.",,PNC,12.20244594889714
17135,4577,1000,Inside Sales,The Sherwin-Williams Company,,SHW,21.84837229626393
34603,10502,3487,Outside Sales,"The TJX Companies, Inc.",,TJX,33.20319939059227
32024,23467,4253,Navigate My Account,"The Travelers Companies, Inc.",,TRV,18.12332211190182
106196,44715,14314,Help Me Catch Up,The Walt Disney Company,,DIS,32.01162920720116
3258,1876,598,Help Me Catch Up,The Washington Post Company,,WPO,31.87633262260128
8219,7181,1501,Keep Me In My Car,The Western Union Company,,WU,20.90238128394374
28016,6359,1752,Set Up My Loan,"Thermo Fisher Scientific, Inc.",,TMO,27.55150180846045
9014,2999,1143,Outside Sales,Tiffany & Co.,,TIF,38.11270423474492
54545,14413,3684,Help Me Catch Up,Time Warner Inc.,,TWX,25.560258100326095
5450,4243,892,Navigate My Account,Torchmark Corp.,,TMK,21.022861183125148
4510,2116,742,Keep Me In My Car,"Total System Services, Inc.",,TSS,35.066162570888466
6957,1064,358,Outside Sales,TripAdvisor Inc.,,TRIP,33.64661654135338
8427,3225,1151,Help Me Catch Up,"Tyson Foods, Inc.",,TSN,35.689922480620154
62798,31572,6575,Move On,U.S. Bancorp,,USB,20.825414924616748
65395,25649,5103,Vehicle Resolution,Union Pacific Corporation,,UNP,19.895512495613865
78736,20559,7381,Vehicle Resolution,"United Parcel Service, Inc.",,UPS,35.90155163188871
2486,3763,622,Inside Sales,United States Steel Corp.,,X,16.529364868456017
86050,39589,9552,Vehicle Resolution,United Technologies Corp.,,UTX,24.127914319634243
